Age,SST
0,19.9
0.8,21.1
1.5,20.1
2.3,19.8
3,19.9
3.8,19.7
4.6,19.9
5.3,21.1
6.1,21
6.8,21
7.6,21.4
8.3,21.3
9.1,19.9
9.9,20.1
10.6,19.9
11.4,19.8
11.9,19.8
12.4,19.7
12.8,19.7
13.3,18.3
13.7,19.4
14.2,19.4
14.6,19.9
15,10.7
15.4,8.6
15.8,8.4
16.2,9.4
16.6,9.6
17,9.6
17.4,17.1
17.9,17.2
18.3,17.7
18.8,16.7
19.2,19.5
19.7,18
20.2,20.5
20.6,19.3
21.1,17.8
21.6,17.7
22,17.2
22.5,15.7
22.9,19
23.4,19.6
23.9,19.6
24.4,18.8
24.9,19.5
25.4,19.7
25.9,16.7
26.4,20.4
26.9,18.7
27.4,19.2
27.9,19
28.4,19.5
29.1,17.7
29.8,19.5
30.5,8.9
30.7,19.5
31,19.5
31.3,17.2
31.6,17.7
31.9,19.5
32.2,19.9
32.5,19.9
32.8,18.9
33.8,14.7
35.5,19.7
37.2,18
38.1,12.5
39,18.4
40,8.4
40.9,19.6
41.5,19.9
42.1,19.9
42.7,18.4
43.3,19
44,18.9
44.6,20
45.2,18.7
45.8,19.3
46.4,18.9
46.6,20.1
46.8,17.7
48.4,20
50,16
51.6,14.7
53,16.1
54.2,13.5
55.5,19.9
56.7,12.8
58,17
59.2,8.5
59.8,8.7
60.4,7.8
61.1,14.8
62,18.1
62.9,9.6
63.7,19.8
64.6,19.4
65.5,18
67.4,18.2
69.4,17.1
71.3,19
73.3,19.1
75.4,17
78.3,19.9
81.2,19.9
84.1,19.9
87,19.1
89.9,9.6
92.8,14.1
95.7,19.7
97.6,18
99.5,17.8
101.4,19.5
103.3,19.9
105.3,19.9
107.2,20.7
109.1,19.6
111,19.3
111.8,18.8
112.7,17.7
114.6,17.5
116.8,17.7
119,19.9
121.2,19.9
123.4,19.5
125.6,20
127.8,21.2
130,19.7
131.3,15.9
131.8,13
132.4,18.2
133,19
137.4,16.2
138.8,17.7
140.2,17.8
141.6,16.9
143,17.4
144.5,18
145.9,16.9
147.3,17.1
148.7,18
150.1,16.8
151.5,15.9
152.9,17.8
154.3,16.2
155.8,17
157.2,16.7
158.6,13.7
160,9.7
