CalAge,Pollen forest (%)
28.6277,3.88
28.9101,7.27
29.0992,1.85
29.3845,4.31
29.5759,4.72
29.8655,4.46
30.0605,6.93
30.3565,2.78
30.5564,1
30.8603,4.04
31.0659,2.94
31.379,17
31.5911,8.59
31.9147,10.19
32.1343,9.26
32.4697,18.49
32.6976,15.93
33.0462,6.45
33.2833,13.46
33.6464,11.3
33.8932,7.08
34.2702,14.75
34.5258,11
34.9149,19.67
35.1778,28.85
35.577,8.74
35.8464,0.85
36.257,2.61
36.3609,8.93
36.5352,14.68
36.6405,12.61
36.9597,18.45
37.0672,27.45
37.2477,21.55
37.3568,17.76
37.5032,21.78
37.6877,23.85
37.9866,14.95
38.252,5.5
38.4439,8.47
38.7553,1.68
39.2331,3.45
39.5592,1.9
40.2303,9.02
40.4021,16.98
40.8389,13.33
41.3311,11.54
41.7425,17.12
42.2083,9
42.6824,2.61
43.1633,14.02
43.6498,11.11
44.1402,19.23
44.6332,11.11
45.128,8.82
45.624,10.89
45.8723,12.5
46.1206,19.8
46.369,9.77
46.6174,13.91
46.7664,15
47.1137,19.33
47.2624,22
47.6091,18.26
47.8563,8
48.1034,4.59
48.5978,2.78
49.0934,6.06
49.5915,2.65
50.0923,13.39
50.5962,5.5
51.1033,16
51.6139,20.37
52.1281,15.84
52.6463,17.92
53.1685,20.49
53.695,17.39
54.226,14.56
54.7617,9.09
55.8476,18.63
56.3976,8.33
56.9523,16.82
57.5116,31.82
58.0755,25.45
58.644,13
59.2169,8.91
59.7943,5.31
60.3761,6.19
60.9619,6.09
61.5515,4.39
62.1445,2.16
62.7405,2.75
63.3393,3.81
63.9404,2.86
64.5438,5.5
65.1494,4.76
65.7575,2.97
66.3069,5.71
66.92,7
67.5359,3.57
68.1547,7.69
68.7767,3.81
69.4019,5.61
70.0935,3.77
70.726,4
71.3621,5.66
72.0021,8.11
72.646,1.79
73.294,1.96
74.0115,14.81
74.602,11.88
75.261,13.79
