Age,CalAge,Sample ID,Pollen forest (%)
1.279,,5479,27.38
1.354,,5480,38.83
1.577,,5481,35.19
1.726,,5482,29.9
1.875,,5483,31.19
1.95,,5484,49.46
2.024,,5485,33.96
2.248,,5486,51.72
2.397,,5487,27.54
2.62,,5488,44.76
2.695,,5489,54.55
2.769,,5490,35.78
2.993,,5491,43.81
3.127,,5492,31.34
3.321,,5493,36.99
3.451,,5494,35.24
3.645,,5495,33.33
3.775,,5496,44.44
3.969,,5497,47.75
4.099,,5498,46.23
4.293,,5499,48.89
4.41,,5500,51.72
4.533,,5501,38.79
4.614,,5502,43.9
4.736,,5503,39.25
4.818,,5504,40.54
4.94,,5505,36.47
5.021,,5506,45.95
5.144,,5507,45.37
5.225,,5508,50.49
5.347,,5509,38.79
5.429,,5510,56.88
5.551,,5511,63.46
5.632,,5512,53.1
5.755,,5513,60
5.836,,5514,42.64
5.958,,5515,50.52
6.04,,5516,57.84
6.17,,5517,55.21
6.258,,5518,50.47
6.39,,5519,52.83
6.478,,5520,54.21
6.61,,5521,52.12
6.698,,5522,61.61
6.786,,5523,59.05
6.83,,5524,49.07
6.962,,5525,46.3
7.05,,5526,60.8
7.138,,5527,62.5
7.27,,5528,41.53
7.358,,5529,56.25
7.529,,5530,40.87
7.649,,5531,62.86
7.768,,5532,61.39
7.947,,5533,62.16
8.126,,5534,61.68
8.245,,5535,51.08
8.424,,5536,51.67
8.544,,5537,59.83
8.723,,5538,64.81
8.902,,5539,61.83
9.021,,5540,53.15
9.14,,5541,54.29
9.254,,5542,49.06
9.321,,5543,54.9
9.388,,5544,61.06
9.489,,5545,58.49
9.556,,5546,58.93
9.657,,5547,59.41
9.724,,5548,55.11
9.825,,5549,57.81
9.926,,5550,51.3
9.993,,5551,47.71
10.05,,5552,52.17
10.103,,5553,58.56
10.156,,5554,48.53
10.209,,5555,53.7
10.262,,5556,54.02
10.316,,5557,52.73
10.395,,5558,60.63
10.448,,5559,50.44
10.528,,5560,58.65
10.608,,5561,46.09
10.661,,5562,43.81
10.741,,5563,33.63
10.767,,5564,41.44
10.82,,5565,34.26
10.9,,5566,47.32
10.952,10.9804,5567,39.47
11.027,11.0558,5568,42.48
11.077,11.106,5569,35.14
11.127,11.1562,5570,40.71
11.177,11.2065,5571,46.28
11.301,11.332,5572,37.72
11.376,11.4074,5573,31.3
11.401,11.4325,5574,44.3
11.426,11.4576,5575,40.37
11.526,11.5581,5576,33.66
11.576,11.6083,5577,46.23
11.65,11.6837,5578,36.45
11.7,11.7339,5579,43.64
11.775,11.8092,5580,26.09
11.83,11.867,5581,33.04
11.918,11.9652,5582,28.45
11.978,12.0306,5583,46.36
12.066,12.1287,5584,45.13
12.126,12.1941,5585,38.89
12.206,12.2764,5586,38.39
12.255,12.3208,5587,19.82
12.327,12.3873,5588,33.03
12.376,12.4317,5589,22.88
12.448,12.4982,5590,30.39
12.497,12.5426,5591,24.35
12.569,12.6091,5592,20.95
12.618,12.6535,5593,36.79
12.691,12.72,5594,29.63
12.739,12.7644,5595,24.55
12.812,12.8309,5596,18.27
12.86,12.8753,5597,14.81
12.933,12.9418,5598,13.91
12.981,12.9862,5599,14.15
13.054,13.0527,5600,47.27
13.124,13.1258,5601,23.21
13.33,13.3646,5602,24.76
13.38,13.4176,5603,30.56
13.454,13.497,5604,29.46
13.504,13.55,5605,28.85
13.578,13.6295,5606,40.87
13.628,13.6825,5607,40.37
13.702,13.7619,5608,33.33
13.752,13.8149,5609,39.25
13.802,13.8679,5610,45.6
13.876,13.9474,5611,32.67
13.951,14.0268,5612,31.93
14,14.0798,5613,39.82
14.075,14.1593,5614,24.59
14.124,14.2123,5615,31.73
14.199,14.2917,5616,45.1
14.249,14.3447,5617,45.08
14.323,14.4242,5618,41.28
14.373,14.4772,5619,46.62
14.475,14.5878,5620,27.88
14.604,14.7295,5621,34.58
14.69,14.824,5622,25.47
14.776,14.9185,5623,37.27
14.905,15.0602,5624,28.95
15.003,15.1672,5625,15.31
15.201,15.3842,5626,17.69
15.333,15.5289,5627,13.51
15.531,15.7458,5628,3.6
15.663,15.8905,5629,8.41
15.861,16.1075,5630,3.36
15.993,16.2522,5631,6.31
16.191,16.4691,5632,1.75
16.323,16.6138,5633,5.83
16.587,16.9031,5634,1.92
16.97,17.2155,5635,9.23
17.281,17.4611,5636,2.34
17.669,17.768,5637,3.15
17.825,17.8908,5638,5.26
18.478,18.4696,5639,4.2
19.464,19.6686,5640,7.23
19.661,19.9084,5641,8.77
19.956,20.2681,5642,6.48
20.154,20.5079,5643,10.7
20.646,21.1074,5644,9.52
20.942,21.4671,5645,6.67
21.108,21.6936,5646,9.57
22.973,23.093,5647,9.41
23.44,23.3728,5648,7.21
23.735,23.8393,5649,7.48
23.853,24.0259,5650,2.83
24.028,24.3057,5651,2.84
24.142,24.4923,5652,5.5
24.313,24.7722,5653,5.61
24.427,24.9588,5654,0.94
24.598,25.2386,5655,7.5
25.135,25.7051,5656,9.24
26.112,26.4884,5657,7.83
26.501,26.7411,5658,9.17
26.656,26.8421,5659,11.21
26.906,26.9937,5660,3.88
27.462,27.2464,5661,11.54
28.015,27.4991,5662,3.28
28.561,27.9034,5663,8.87
28.808,28.1561,5664,5.43
28.907,28.2572,5665,7.89
30.149,29.0104,5666,0.87
30.636,29.4884,5667,3.54
30.973,29.9663,5668,3.47
31.164,30.2605,5669,8.55
31.407,30.5086,5670,12.2
31.552,30.6576,5671,9.48
31.649,30.7568,5672,5.83
31.858,31.005,5673,11.3
32.033,31.2532,5674,20
32.16,31.4021,5675,13.43
32.318,31.5014,5676,16.94
32.555,31.6503,5677,8.89
32.713,31.7496,5678,12.61
32.933,31.8985,5679,8.15
33.025,31.9978,5680,1.46
33.254,32.2459,5681,22.22
33.391,32.3949,5682,12.5
33.517,32.4941,5683,15.13
34.082,32.7423,5684,5.83
34.606,32.9905,5685,7.14
34.765,33.2387,5686,20.54
34.86,33.3876,5687,17.69
34.923,33.4869,5688,11.03
35.018,33.6358,5689,10.81
35.082,33.7351,5690,17.42
35.177,33.884,5691,10.2
35.241,33.9832,5692,7.94
35.787,34.2314,5693,2.07
36.199,34.3803,5694,6.25
36.315,34.4796,5695,21.43
36.49,34.6285,5696,15.79
36.606,34.7278,5697,19.83
36.664,34.7774,5698,24.58
36.78,34.8767,5699,21.21
36.896,34.976,5700,16.1
37.187,35.2242,5701,23.2
37.361,35.3731,5702,14.17
37.477,35.4724,5703,18.46
37.652,35.6213,5704,14.06
37.768,35.7205,5705,20.71
37.942,35.8694,5706,24.59
38.059,35.9687,5707,9.92
38.367,36.248,5708,12.5
38.649,36.5833,5709,6.94
38.836,36.8068,5710,3.03
38.93,36.9186,5711,4.67
39.118,37.1421,5712,4.1
39.306,37.3656,5713,2.92
39.588,37.7009,5714,0
39.775,37.9244,5715,5.08
40.13,38.4833,5716,6.02
40.299,38.8186,5717,13.64
40.771,39.3774,5718,10.4
40.894,39.6009,5719,10.53
41.197,40.1597,5720,15.38
41.462,40.7186,5721,8.06
41.722,41.2774,5722,12.6
41.766,41.3892,5723,10.24
41.941,41.8362,5724,9.45
42.073,42.1715,5725,12.26
42.38,42.9539,5726,11.02
42.759,43.5127,5727,10.34
42.955,43.7362,5728,1.47
43.242,44.0715,5729,7.41
