CalAge,Pollen forest (%)
11.0041,48.57
11.4002,35.77
11.8322,46.79
12.2525,40.15
12.664,40.52
13.0673,53.47
13.461,42.48
13.8434,39.1
14.2176,34.64
14.5875,16.67
14.958,6.03
15.3325,9.52
15.708,8.4
16.0771,15.24
16.4342,6.14
16.7783,5.93
17.1105,2.84
17.4374,4.17
17.7701,11.35
18.1128,12.32
18.4689,12.64
18.8419,16.85
19.233,19.13
19.6375,13
20.05,8.46
20.4651,10.17
20.8786,15.82
21.2885,9.4
21.6935,11.41
22.092,6.29
22.4826,11.4
22.8637,12.98
23.2338,6.79
23.5914,9.62
23.9352,23.53
24.2635,9.62
24.5748,2.76
24.8677,10.91
25.1414,16.07
25.3973,7.25
25.6373,9.52
25.863,6.93
26.0763,8.62
26.2791,23.96
26.473,10.56
26.6231,8.59
26.66,30
26.7514,11.11
26.9313,14.29
27.0202,0
27.1086,0
27.197,12.5
27.2853,6.25
27.3736,5.26
27.4619,0
27.5678,16
27.6385,0
27.7268,5
27.8151,15.79
