Site,Level,Lab. Reference,Age,Standard Deviation,Sample type,Method,Phase attribution,Region,Reference,Accepted,Notes
Gato Preto,C,,4940,640,Burnt chert,TL,Final Gravettian/Proto-Solutrean,Portugal,Zilhão 1997,No,
Gato Preto,C,,5100,600,Burnt chert,TL,Final Gravettian/Proto-Solutrean,Portugal,Zilhão 1997,No,
Terra do Manuel,2,,7300,700,Burnt chert,TL,Proto-Solutrean,Portugal,Zilhão 1997,No,
Vale Boi,Slope 2,AA-63307,11840,280,Charcoal,AMS,Solutrean,Portugal,Cascalheira et al. 2012,No,
Las Delicias,II-3b,MAD-5566SDA,12028,794,Sediment,OSL,Solutrean,Central Iberia,Alcaraz-Castaño et al. 2017,Yes,
"Riera, La",15,Gak-6449,15600,570,charcoal,C14,Upper Solutrean/Badegoulian?,Northern Iberia,"Straus, 1986",No,No (Rasilla Vives and Llana Rodriguez 1994) (SD)
"Riera, La",14,UCR-1271A,15690,310,bone,C14,Upper Solutrean/Badegoulian?,Northern Iberia,"Straus, 1986",No,No (Rasilla Vives and Llana Rodriguez 1994)
Terra do Manuel,2,,15700,1700,Burnt chert,TL,Proto-Solutrean,Portugal,Zilhão 1997,No,
CPM,7,ICEN-542,15820,400,Charcoal,C14,Magdalenian,Portugal,Bicho and Haws 2012,Yes,
"Riera, La",8,Gak-6450,15860,330,charcoal,C14,Upper Solutrean,Northern Iberia,"Straus, 1986",No,No (Rasilla Vives and Llana Rodriguez 1994)
Ekain,VII B,I-12224,16030,240,,C14,Magdalenian III,,,No,
Cendres,XIIB,Beta-287541,16030,60,Charcoal,AMS,Magdaleniense A,Mediterranean,"Villaverde et al., 2012",Yes,
CPM II,Inferior,ICEN-821,16080,350,Charcoal,C14,Final Gravettian/Proto-Solutrean,Portugal,Zilhão 1997,No,
Amalda,IV,I-11435,16090,240,?,C14,Upper evolved Solutrean,Northern Iberia,"Altuna, 1990",No,"No (Soto-Barreiro, 2003)"
Aguas,various,GrA-33918,16110,180,,,Palaeolithic art,,,No,
CPM,5,Wk-3126,16180,290,Charcoal,AMS,Magdalenian,Portugal,Bicho and Haws 2012,Yes,
Beneito,II (ext),Ua-32243,16180,140,Bone,AMS,Badeguliense? / Solutrense?,Mediterranean,"Domenech et al., 2012",Yes,
Reclau Viver,4.20-40,M-1020,16200,500,,C14,Aurignacian,Mediterranean,,No,SD / Anomalus
Amalda,IV,I-11428,16200,380,?,C14,Upper evolved Solutrean,Northern Iberia,"Altuna, 1990",No,"No (Soto-Barreiro, 2003)"
Ekain,VII F,I-12566,16250,500,,C14,Magdalenian III,,,No,
Lapa do Picareiro,O,UGAMS-23724,16280,40,Charcoal,AMS,Solutrean,Portugal,Haws et al. 2019,Yes,
Malladetes,III,KN-I/918,16300,1500,Charcoal,C14,SG?,Mediterranean,"Fortea & Jordá, 1976",No,Anomalous
"Mirón, El",119.2,GX-32656,16320,160,Bone,AMS,Solutrean,Northern Iberia,"Straus et al, 2011",Yes,
CPM,7,SMU-2015,16340,420,Charcoal,C14,Magdalenian,Portugal,Bicho and Haws 2012,Yes,
Lapa do Picareiro,N,Wk-16417,16389,111,Bone,AMS,Solutrean,Portugal,Haws et al. 2019,Yes,
Terra do Manuel,2,,16400,1800,Burnt chert,TL,Proto-Solutrean,Portugal,Zilhão 1997,No,
"Ruso, El",III,Beta-70810,16410,210,Bone,C14,Upper Solutrean/Upper Evolved Solutrean,Northern Iberia,"Muñoz Fernández and Serna Gancedo, 1999",Yes,
"Ruso, El",Iva,Beta-810,16410,210,,C14,Solutrean,Northern Iberia,"Yravedra et al, 2010.",Yes,
A Valina,south profile (NV),GrN-20836,16420,70,Charcoal,C14,Upper Palaeolithic,,,No,
Gorham's Cave,Level III-B,Beta-181893,16420,120,Charcoal,AMS,Solutrense (superior),Mediterranean,Finlayson C. e.a. 2000.,Yes,
Cendres,Borrow (XVI),Beta-287547,16460,60,Charcoal,AMS,Gravetiense,Mediterranean,"Villaverde y Román, 2013",Yes,
Altamira,G,GifA-96061,16480,210,Black dot,AMS,Magdalenian,,,No,
"Canes, Los",2b,AA12165,16500,200,?,AMS,Solutrean?/Magdalenian?,Northern Iberia,"Arias Cabal and Pérez Suárez, 1995",Yes,
Ekain,VII B,I-12020,16510,270,,C14,Magdalenian III,,,No,
Nerja Torca,"Strato VI, Nivel 8",GAK-8965,16520,540,bone,C14,EUP,Mediterranean,"Pellicer y Acosta, 1997",No,Anomalous
Beneito,B2,Ly-3593,16560,480,,C14,Solutrense superior /SG,Mediterranean,"Iturbe y Cortell, 1987",No,Anomalous
Reclau viver,4.60-80,M-1015,16560,600,,C14,Aurignacian,Mediterranean,,No,SD / Anomalus
La Boja,OH5,VERA-5788,16580,70,Charcoal,AMS,Solutrense /SG,Mediterranean,"Zilhao et al., 2017",Yes,
Los Canes,U.S. 2A,AA-12666,16700,210,,,,,,No,
"Buxu, El",3,GrN-19386,16730,500,?,C14,Final Solutrean,Northern Iberia,"Menéndez, 1999",Yes,
Cendres,XIII M8,Beta-287542,16790,60,Charcoal,C14,"Solutrense

",Mediterranean,"Martínez-Alfaro et al., 2019",Yes,
Cova Gran de Santa Linya,EA-3,Beta-233606,16800,80,Charcoal,AMS,Magdaleniense A?,Mediterranean,Mora R. e.a. 2011.,Yes,No atribución
Cova Rosa,I,OxA-31799,16800,80,Bone,AMS,Solutrean,Northern Iberia,"Álvarez Fernández et al., 2019",Yes,
Cova Rosa,I,OxA-31800,16820,90,Bone,AMS,Solutrean,Northern Iberia,"Álvarez Fernández et al., 2019",Yes,
