Site,Longitude,Latitude,Region,Name
Abauntz,-2.04,43.01,Northern Iberia,no
Abric Romani,1.69,41.53,Mediterranean,no
Abrigo do Alecrim,-8.73,39.76,Atlantic,no
Las Aguas,-4.18,43.38,Northern Iberia,no
Aitzbitarte III,-1.9,43.27,Northern Iberia,yes
Aitzbitarte IV,-1.89,43.26,Northern Iberia,yes
Aldatxarren,-2.38,43.25,Northern Iberia,no
Alkerdi,-1.52,43.28,Northern Iberia,no
Almonda,-8.62,39.5,Atlantic,yes
Altamira,-4.12,43.38,Northern Iberia,yes
Amalda,-2.2,43.23,Northern Iberia,no
Cueva Ambrosio,-2.1,37.69,Mediterranean,yes
Ametzagaina,-1.95,43.31,Northern Iberia,no
Lapa do Anecrial,-8.76,39.54,Atlantic,yes
Antoliñako Koba,-2.67,43.36,Northern Iberia,yes
Ardales,-4.83,36.87,Mediterranean,yes
Arlanpe,-2.76,43.19,Northern Iberia,no
Atxeta,-2.68,43.33,Northern Iberia,no
Atxurra,-2.49,43.33,Northern Iberia,no
Baío,-9.41,39.08,Atlantic,yes
Bajondillo,-4.5,36.63,Mediterranean,yes
Balma de la Griera,1.58,41.22,Mediterranean,no
Balmori,-4.83,43.42,Northern Iberia,no
Barranc Blanc,-0.26,38.94,Mediterranean,no
Barranc de l'Infern,-0.11,38.79,Mediterranean,no
Beneito,-0.47,38.8,Mediterranean,yes
Bolinkoba,-2.61,43.17,Northern Iberia,yes
Buraca Escura,-8.55,39.98,Atlantic,yes
Buraca Grande,-8.55,39.98,Atlantic,yes
El Buxu,-5.1,43.36,Northern Iberia,yes
Las Caldas,-5.92,43.34,Northern Iberia,yes
Caldeirão,-8.42,39.65,Atlantic,yes
El Mazo de Camargo,-3.88,43.41,Northern Iberia,no
Canada do Inferno,-7.1,41.05,Central Iberia,yes
"Canes, Los",-4.85,43.32,Northern Iberia,no
Cardina I,-7.1,40.98,Central Iberia,yes
Carihuela,-3.42,37.43,Mediterranean,no
Casa da Moura,-9.25,39.33,Atlantic,yes
Casal do Cepo,-8.57,39.43,Atlantic,yes
El Castillo,-3.96,43.29,Northern Iberia,no
